Ticker,Ex_Dividend_Date,Dividend_Amount
TCS.NS,2020-01-23,5.0
TCS.NS,2020-03-19,12.0
TCS.NS,2020-06-03,6.0
TCS.NS,2020-07-16,5.0
TCS.NS,2020-10-14,12.0
TCS.NS,2021-01-14,6.0
TCS.NS,2021-05-25,15.0
TCS.NS,2021-07-15,7.0
TCS.NS,2021-10-14,7.0
TCS.NS,2022-01-19,7.0
TCS.NS,2022-05-25,22.0
TCS.NS,2022-07-14,8.0
TCS.NS,2022-10-17,8.0
TCS.NS,2023-01-16,75.0
TCS.NS,2023-06-15,24.0
TCS.NS,2023-07-20,9.0
TCS.NS,2023-10-19,9.0
INFY.NS,2020-05-29,9.5
INFY.NS,2020-10-23,12.0
INFY.NS,2021-05-31,15.0
INFY.NS,2021-10-26,15.0
INFY.NS,2022-05-31,16.0
INFY.NS,2022-10-27,16.5
INFY.NS,2023-06-02,17.5
INFY.NS,2023-10-25,18.0
HCLTECH.NS,2020-01-24,2.0
HCLTECH.NS,2020-07-23,2.0
HCLTECH.NS,2020-09-14,2.0
HCLTECH.NS,2020-10-22,4.0
HCLTECH.NS,2021-01-21,4.0
HCLTECH.NS,2021-04-29,16.0
HCLTECH.NS,2021-07-27,6.0
HCLTECH.NS,2021-10-21,10.0
HCLTECH.NS,2022-01-20,10.0
HCLTECH.NS,2022-04-28,18.0
HCLTECH.NS,2022-07-19,10.0
HCLTECH.NS,2022-10-19,10.0
HCLTECH.NS,2023-01-19,10.0
HCLTECH.NS,2023-04-28,18.0
HCLTECH.NS,2023-07-20,10.0
HCLTECH.NS,2023-10-20,12.0
WIPRO.NS,2020-01-24,0.5
WIPRO.NS,2021-01-22,0.5
WIPRO.NS,2022-01-21,0.5
WIPRO.NS,2022-04-05,2.5
WIPRO.NS,2023-01-24,0.5
TECHM.NS,2020-03-02,10.0
TECHM.NS,2020-07-23,5.0
TECHM.NS,2020-10-29,30.0
TECHM.NS,2021-07-23,30.0
TECHM.NS,2021-11-02,15.0
TECHM.NS,2022-07-21,30.0
TECHM.NS,2022-11-09,18.0
TECHM.NS,2023-07-21,32.0
TECHM.NS,2023-11-02,12.0
LTIM.NS,2020-07-09,15.5
LTIM.NS,2020-10-27,15.0
LTIM.NS,2021-07-01,25.0
LTIM.NS,2021-07-30,10.0
LTIM.NS,2021-10-25,15.0
LTIM.NS,2022-06-30,30.0
LTIM.NS,2023-01-31,20.0
LTIM.NS,2023-07-10,40.0
LTIM.NS,2023-10-27,20.0
OFSS.NS,2020-05-19,180.0
OFSS.NS,2021-05-17,200.0
OFSS.NS,2022-05-13,190.0
OFSS.NS,2023-05-09,225.0
PERSISTENT.NS,2020-02-06,4.5
PERSISTENT.NS,2020-03-18,1.5
PERSISTENT.NS,2021-02-09,7.0
PERSISTENT.NS,2021-07-13,3.0
PERSISTENT.NS,2022-01-27,10.0
PERSISTENT.NS,2022-07-11,5.5
PERSISTENT.NS,2023-01-25,14.0
PERSISTENT.NS,2023-07-11,11.0
MPHASIS.NS,2020-07-02,35.0
MPHASIS.NS,2021-09-13,65.0
MPHASIS.NS,2022-07-05,46.0
MPHASIS.NS,2023-07-05,50.0
COFORGE.NS,2020-02-07,2.0
COFORGE.NS,2020-05-14,2.2
COFORGE.NS,2021-05-18,2.6
COFORGE.NS,2021-08-09,2.6
COFORGE.NS,2021-11-03,2.6
COFORGE.NS,2022-02-07,2.6
COFORGE.NS,2022-05-23,2.6
COFORGE.NS,2022-08-03,2.6
COFORGE.NS,2022-11-03,2.6
COFORGE.NS,2023-02-03,3.8
COFORGE.NS,2023-05-10,3.8
COFORGE.NS,2023-08-03,3.8
COFORGE.NS,2023-11-02,3.8
TATAELXSI.NS,2020-07-13,16.5
TATAELXSI.NS,2021-06-17,48.0
TATAELXSI.NS,2022-06-15,42.5
TATAELXSI.NS,2023-06-22,60.6
KPITTECH.NS,2020-02-17,0.55
KPITTECH.NS,2020-03-19,0.45
KPITTECH.NS,2021-08-17,1.5
KPITTECH.NS,2022-02-10,1.25
KPITTECH.NS,2022-08-12,1.85
KPITTECH.NS,2023-02-10,1.45
KPITTECH.NS,2023-08-14,2.65
LTTS.NS,2020-07-08,13.5
LTTS.NS,2020-10-26,7.5
LTTS.NS,2021-07-08,14.5
LTTS.NS,2021-10-26,10.0
LTTS.NS,2022-01-25,10.0
LTTS.NS,2022-07-07,15.0
LTTS.NS,2022-10-27,15.0
LTTS.NS,2023-07-07,30.0
LTTS.NS,2023-10-27,17.0
SONATSOFTW.NS,2020-03-06,5.4375
SONATSOFTW.NS,2020-11-18,1.5
SONATSOFTW.NS,2021-08-06,3.75
SONATSOFTW.NS,2021-10-29,3.0
SONATSOFTW.NS,2022-06-15,4.875
SONATSOFTW.NS,2022-10-31,3.5
SONATSOFTW.NS,2023-07-21,4.375
SONATSOFTW.NS,2023-11-07,3.5
CYIENT.NS,2020-03-23,9.0
CYIENT.NS,2021-06-03,17.0
CYIENT.NS,2021-10-26,10.0
CYIENT.NS,2022-05-23,14.0
CYIENT.NS,2022-10-25,10.0
CYIENT.NS,2023-06-12,16.0
CYIENT.NS,2023-11-01,12.0
ZENSARTECH.NS,2020-02-06,1.0
ZENSARTECH.NS,2020-03-18,1.8
ZENSARTECH.NS,2021-01-29,1.2
ZENSARTECH.NS,2021-09-15,2.4
ZENSARTECH.NS,2022-02-03,1.5
ZENSARTECH.NS,2022-07-14,3.5
ZENSARTECH.NS,2023-02-03,1.5
ZENSARTECH.NS,2023-07-21,3.5
BSOFT.NS,2020-02-07,1.0
BSOFT.NS,2020-08-13,1.0
BSOFT.NS,2020-11-12,1.0
BSOFT.NS,2021-07-15,2.5
BSOFT.NS,2021-11-02,1.5
BSOFT.NS,2022-07-14,3.0
BSOFT.NS,2022-11-01,1.5
BSOFT.NS,2023-07-14,2.0
BSOFT.NS,2023-11-08,4.0
FSL.NS,2020-02-27,2.5
FSL.NS,2021-02-17,3.0
FSL.NS,2022-02-17,3.5
FSL.NS,2023-02-17,3.5
ECLERX.NS,2020-09-16,0.333333
ECLERX.NS,2021-09-15,0.333333
ECLERX.NS,2022-08-19,0.333333
ECLERX.NS,2023-08-31,0.5
MASTEK.NS,2020-03-23,5.0
MASTEK.NS,2020-11-09,5.5
MASTEK.NS,2021-09-23,9.0
MASTEK.NS,2022-01-31,7.0
MASTEK.NS,2022-09-08,12.0
MASTEK.NS,2023-02-01,7.0
MASTEK.NS,2023-09-18,12.0
INTELLECT.NS,2022-07-21,2.5
INTELLECT.NS,2023-07-21,2.5
