Ticker,Event_Date,T_Zero_AR,11_Day_CAR,Model_R_Squared
TCS.NS,2021-01-14,0.03026778806563735,0.07205588913219217,0.7687368230967221
TCS.NS,2021-05-25,0.0020780132589328475,-0.009536922032362994,0.654846049932663
TCS.NS,2021-07-15,-0.015234013446142874,-0.046210178427225655,0.6868837318900025
TCS.NS,2021-10-14,-0.02253291306179623,-0.04819968185177209,0.6333462033658279
TCS.NS,2022-01-19,-0.0009167449135314663,0.03195612415707273,0.6010013788500947
TCS.NS,2022-05-25,-0.010735007389743846,0.006894255211725363,0.6359857122510444
TCS.NS,2022-07-14,-0.0006720127260381147,0.0196318114310688,0.7171041734645138
TCS.NS,2022-10-17,0.0018494112778277704,0.009098226382413404,0.7871934879011259
TCS.NS,2023-01-16,-0.022236416555953598,-0.03276120328150386,0.8405050423377967
TCS.NS,2023-06-15,-0.006243019656257914,-0.004156216074561965,0.7694281193019092
TCS.NS,2023-07-20,0.0035913600237646903,0.017036473497498344,0.7533012390187032
TCS.NS,2023-10-19,-0.007274518979133112,-0.016970910107892888,0.7063565273784553
INFY.NS,2021-05-31,-0.007729115520833885,-0.0004610515130885149,0.7604827939613743
INFY.NS,2021-10-26,-0.006147558379301879,0.0017036133888406627,0.7457946677724767
INFY.NS,2022-05-31,-0.012610086421201223,0.005862232892954037,0.7772965093442775
INFY.NS,2022-10-27,0.003590373124741399,-0.005366813691287442,0.8493681531194166
INFY.NS,2023-06-02,-0.010175954644753417,0.022165695028964136,0.8451613525164783
INFY.NS,2023-10-25,-0.014260201390783036,-0.00566583777128782,0.7860417614380089
HCLTECH.NS,2021-01-21,0.00029928171595645925,-0.00647656636173332,0.663538411695066
HCLTECH.NS,2021-04-29,-0.01143980686064587,0.005478848261413365,0.660920253530966
HCLTECH.NS,2021-07-27,-0.005756084157144674,0.012951692674272635,0.6479776002880516
HCLTECH.NS,2021-10-21,0.009269172265284707,0.006849560288825066,0.6615040597326622
HCLTECH.NS,2022-01-20,-0.0029716838378929106,0.03639257660532557,0.5829859840199664
HCLTECH.NS,2022-04-28,-0.012309697722379836,0.024327769945520467,0.5853998373751408
HCLTECH.NS,2022-07-19,-0.012536304098574499,0.0012579602767697068,0.655936475798818
HCLTECH.NS,2022-10-19,-0.005826404267412839,0.0181434895380359,0.7006735057959151
HCLTECH.NS,2023-01-19,-0.003985705355539962,-0.00236259819612051,0.708199285049312
HCLTECH.NS,2023-04-28,-0.01816577238617798,-0.0028205005360104015,0.6549971559012076
HCLTECH.NS,2023-07-20,-0.006697743411809903,-0.010319899144218634,0.6092179322275639
HCLTECH.NS,2023-10-20,-0.005510115372541756,0.011982921013919522,0.5786510748670467
WIPRO.NS,2021-01-22,-0.004712239801392138,-0.016809229970909723,0.5188342232259133
WIPRO.NS,2022-01-21,-5.071151340791183e-05,-0.047644002565959076,0.5476041804496912
WIPRO.NS,2022-04-05,-0.010530144675016994,0.004505219228510352,0.6083353422433779
WIPRO.NS,2023-01-24,-0.006435774513345644,-0.006902280921710956,0.7066204784788365
TECHM.NS,2021-07-23,-0.018855126503062716,0.05056689696807853,0.61653948327989
TECHM.NS,2021-11-02,-0.017551202860086577,0.020401900076014258,0.5721903321373104
TECHM.NS,2022-07-21,-0.019582173684622107,-0.04810887562602968,0.7041823076547264
TECHM.NS,2022-11-09,-0.01856291072684748,-0.021074604248708086,0.7213479552960722
TECHM.NS,2023-07-21,-0.004725322692788171,-0.04047310378516095,0.5463120224324793
TECHM.NS,2023-11-02,-0.017113735057720028,0.0010832501288873995,0.516536636996392
LTIM.NS,2021-07-01,-0.006748766547856582,0.05798403773934206,0.40569419170617815
LTIM.NS,2021-07-30,0.005173139483265736,-0.04270430394385176,0.41073224514861073
LTIM.NS,2021-10-25,-0.007484638735135779,0.028196407600480422,0.49080796754374056
LTIM.NS,2022-06-30,-0.014726971936063706,0.016827302042792484,0.5791628744455503
LTIM.NS,2023-01-31,-0.0036482289739676217,0.02663961983604023,0.6713160428465776
LTIM.NS,2023-07-10,-0.00896429877911536,-0.061696968537671044,0.6416734947966077
LTIM.NS,2023-10-27,-0.013162604983758161,0.0005622759992442144,0.5758538977037384
OFSS.NS,2021-05-17,-0.05033777912361414,-0.08767952248138038,0.17126540466920015
OFSS.NS,2022-05-13,-0.07619105320670604,-0.06346890752575227,0.295897094567417
OFSS.NS,2023-05-09,-0.07957060539580611,-0.05947695741638392,0.3052950072412669
PERSISTENT.NS,2021-02-09,-0.037622709681329865,-0.07288170913857582,0.1802226647912909
PERSISTENT.NS,2021-07-13,-0.006899854820692504,0.034941797954417486,0.25015755927895167
PERSISTENT.NS,2022-01-27,0.014945930252596159,0.02090336505289151,0.2750538479485395
PERSISTENT.NS,2022-07-11,0.001981517442889748,0.04915293870197483,0.5389936391619361
PERSISTENT.NS,2023-01-25,0.011630075104760433,0.013761571930566534,0.5993736676918011
PERSISTENT.NS,2023-07-11,-0.013121755361131346,-0.05317524155403063,0.5105672804485966
MPHASIS.NS,2021-09-13,-0.007129505035451865,0.02745460868973171,0.2591946788941528
MPHASIS.NS,2022-07-05,-0.018507137858855854,-0.014456259785229714,0.6089355003152761
MPHASIS.NS,2023-07-05,-0.021141925476713726,0.07285797863281618,0.5712302718140023
COFORGE.NS,2021-05-18,0.006045167599272663,-0.0035663671876848147,0.4501961008866552
COFORGE.NS,2021-08-09,-0.004621368762557052,-0.08200274661718836,0.4083141024253434
COFORGE.NS,2021-11-03,0.0031812882823686298,0.057411152885194536,0.40538761116905986
COFORGE.NS,2022-02-07,0.011364882588299862,-0.040602261355081576,0.4303322947768824
COFORGE.NS,2022-05-23,0.005039912510418444,-0.08401783901337617,0.5237084152427295
COFORGE.NS,2022-08-03,-0.0044972863861610386,-0.013411804075684569,0.5642626152556306
COFORGE.NS,2022-11-03,0.003349576849027423,-0.029173506529045316,0.5666978149585242
COFORGE.NS,2023-02-03,-0.03037359283209743,-0.07745084571132367,0.5969720689644094
COFORGE.NS,2023-05-10,0.0007900025019012118,-0.0061551269879928806,0.5591276445219515
COFORGE.NS,2023-08-03,0.0036804231892834842,0.002911929792952128,0.523195277560015
COFORGE.NS,2023-11-02,-0.003700842168099382,0.045743956464783145,0.4109084297931951
TATAELXSI.NS,2021-06-17,-0.019834353961196885,0.04911660420872966,0.1132789150269281
TATAELXSI.NS,2022-06-15,-0.027942488154481353,-0.0672450996441335,0.10159198122853164
TATAELXSI.NS,2023-06-22,-0.010824601111090938,-0.024858215007195095,0.11548584578394805
KPITTECH.NS,2021-08-17,0.0015131856664390396,-0.12747094158500472,0.08502683447890858
KPITTECH.NS,2022-02-10,-0.010523988421545762,-0.10430539627901295,0.102942792410878
KPITTECH.NS,2022-08-12,0.04191069972583791,0.04575863361863894,0.20856679476203832
KPITTECH.NS,2023-02-10,0.046871725135205315,0.015213119792629657,0.1434674370119
KPITTECH.NS,2023-08-14,-0.01826056776035189,-0.012426970784487217,0.03564326070793267
LTTS.NS,2021-07-08,0.012732303594467632,0.13392853042032982,0.20812002692451326
LTTS.NS,2021-10-26,0.002392403521641894,0.07533910907426596,0.25145064149354224
LTTS.NS,2022-01-25,0.00905082201368641,-0.017735565624780215,0.3290036191603902
LTTS.NS,2022-07-07,-0.0011692877273333886,0.1012773591328109,0.6061062205327492
LTTS.NS,2022-10-27,-0.00682929221638355,0.007296089832926244,0.6488170294003908
LTTS.NS,2023-07-07,-0.006269846251600953,0.005227823361854879,0.40427228669271364
LTTS.NS,2023-10-27,-0.002501450541178939,0.0162684959316048,0.33432785095627227
SONATSOFTW.NS,2020-11-18,-0.014736422857878179,-0.013684163101554413,0.23466388034508456
SONATSOFTW.NS,2021-08-06,0.029439637155472716,-0.02659433068256041,0.050867461365239564
SONATSOFTW.NS,2021-10-29,-0.009630976819675698,-0.040539557191881424,0.03235449920820965
SONATSOFTW.NS,2022-06-15,0.010770099457147754,-0.0028831570593835336,0.1415218268399403
SONATSOFTW.NS,2022-10-31,0.008667100316873053,0.02816900195215933,0.19095337818739933
SONATSOFTW.NS,2023-07-21,0.010963649952679181,-0.031106540915327434,0.04841222578723481
SONATSOFTW.NS,2023-11-07,0.006829283346525493,-0.017217307864764504,0.055382484881072
CYIENT.NS,2021-06-03,-0.0182236758552596,-0.02119527309387207,0.07159915748170742
CYIENT.NS,2021-10-26,0.0007389128291967325,-0.00046233888086969974,0.04624391441210374
CYIENT.NS,2022-05-23,-0.010128952815838484,-0.018216502511486474,0.1791403892807656
CYIENT.NS,2022-10-25,-0.022424091941117604,-0.0350215021624187,0.23384403728740344
CYIENT.NS,2023-06-12,0.02827406644542612,0.022364467483787065,0.07618935221320966
CYIENT.NS,2023-11-01,0.029194073000447254,0.010210015360988544,0.05398070758348561
ZENSARTECH.NS,2021-01-29,-0.001822863505723079,-0.10089603434619598,0.04899432793457481
ZENSARTECH.NS,2021-09-15,0.16112031606630067,-0.03177864157734707,0.048123408255199895
ZENSARTECH.NS,2022-02-03,-0.0003222827500418135,-0.13837078491789512,0.13761644144889496
ZENSARTECH.NS,2022-07-14,0.007748228662462064,-0.09810764471215744,0.3373626644674239
ZENSARTECH.NS,2023-02-03,-0.0014825732298715658,0.13248637214513215,0.3025370930381348
ZENSARTECH.NS,2023-07-21,0.07618466149057851,0.04459876352542337,0.11595109705149564
BSOFT.NS,2020-11-12,-0.014296450916257156,0.041954839139472906,0.3349060708429039
BSOFT.NS,2021-07-15,0.05426258207379621,-0.032963939683843986,0.2543667010579024
BSOFT.NS,2021-11-02,-0.009649572544867108,0.09981242004310996,0.1902924014113513
BSOFT.NS,2022-07-14,-0.06623338380214551,-0.13441786090259028,0.45038731756682104
BSOFT.NS,2022-11-01,0.0063182679503926,-0.0015496246258080645,0.5053321443649949
BSOFT.NS,2023-07-14,0.0019604453934834107,0.1404894860465039,0.33512080311408243
BSOFT.NS,2023-11-08,-0.004590744739380691,-0.002971040647824118,0.2264795396379552
FSL.NS,2021-02-17,-0.02554093343253081,0.015078095792238911,0.08558972068594106
FSL.NS,2022-02-17,-0.012401114747019956,-0.056163759990506795,0.10305890386675653
FSL.NS,2023-02-17,-0.010353768198037629,-0.03956880662088391,0.4748505982690585
ECLERX.NS,2021-09-15,0.032533305552167116,-0.06313060706208164,0.07950790940576369
ECLERX.NS,2022-08-19,-0.00037451491348520225,0.0002698064253092822,0.16241065760188933
ECLERX.NS,2023-08-31,-0.01676546702066368,0.04478522263423182,0.016550598824637386
MASTEK.NS,2020-11-09,-0.0001732815667909761,0.03850993006470223,0.15102482632530334
MASTEK.NS,2021-09-23,-0.011883091712106778,-0.028964247983561224,0.10889772688658161
MASTEK.NS,2022-01-31,-0.01959269873950978,-0.0852254448408798,0.1141268765997353
MASTEK.NS,2022-09-08,-0.0015974763931555702,0.016890579357582647,0.2596487607726321
MASTEK.NS,2023-02-01,-0.0019377225005671318,-0.06531807621152366,0.20901983200042862
MASTEK.NS,2023-09-18,-0.004802254371482817,0.030823570123543406,0.1755259066348509
INTELLECT.NS,2022-07-21,0.01598878933282698,-0.16011552287464398,0.210363999840404
INTELLECT.NS,2023-07-21,0.02999722014822727,0.1048997562238595,0.1683220976495352
